X,Y,FID,ELEVATION
-76.343950805651431,36.776459389537564,8001,10.99
-76.195480841144388,36.701753264367248,8002,20.01
-76.390092113956371,36.819186392629959,8003,11.46
-76.398780471512282,36.805583481869867,8004,0.09
-76.374341828491808,36.671048621330627,8005,14.9
-76.153027769779825,36.550036349359843,8006,0.49
-76.356070784422059,36.768527824666783,8007,12.8
-76.396585791830248,36.861252561364672,8008,15.79
-76.2724764946459,36.755530433500361,8009,8
-76.47653923783372,36.690001769229895,8010,19.69
-76.286399219047794,36.789480437577595,8011,2.97
-76.406170457341076,36.553333172702096,8012,16.79
-76.319165364804107,36.767041252908108,8013,7.66
-76.172895821957169,36.628789998571321,8014,12.13
-76.350379451131062,36.797365954701839,8015,10.57
-76.165185900480594,36.700340216565749,8016,10.09
-76.17603002465448,36.58109080444973,8017,8.89
-76.145594695628148,36.580980742925213,8018,4.55
